No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-44;SetpointChange;28.06.2002;05:11:50;T=CELL 2 CON(24364)=chn.airgate.link
-45;Ready;27.06.2002;23:59:35;0;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,9;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-46;Switched On;27.06.2002;23:59:34;System started
-47;Mains Underfrequency;27.06.2002;23:59:28;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;21,0;3,6;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-48;SetpointChange;27.06.2002;23:58:51;T=CELL 1 CON(24364)=airgate.comap.cz
-49;SetpointChange;27.06.2002;23:58:36;T=CELL 1 CON(24311)=airgate.comap.cz:9925
-50;Ready;27.06.2002;23:38:14;0;0,00; ;0;0;0;50,0;236;0;0;0;0;0;20,9;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-51;Switched On;27.06.2002;23:38:13;System started
-52;Mains Underfrequency;27.06.2002;23:38:05;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,9;3,6;50;54;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-53;SetpointChange;27.06.2002;23:37:27;T=CELL 1 CON(24364)=aus.airgate.link
-54;Ready;27.06.2002;23:35:12;0;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,7;3,6;49;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-55;Switched On;27.06.2002;23:35:11;System started
-56;Mains Underfrequency;27.06.2002;23:35:04;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;21,0;3,6;50;54;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-57;Ready;27.06.2002;23:27:41;0;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,9;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-58;Switched On;27.06.2002;23:27:40;System started
-59;Mains Underfrequency;27.06.2002;23:27:33;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,8;3,6;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-60;Ready;27.06.2002;23:15:59;0;0,00; ;0;0;0;50,0;234;0;0;0;0;0;20,8;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-61;Switched On;27.06.2002;23:15:57;System started
-62;Mains Underfrequency;27.06.2002;23:15:48;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,9;3,6;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
